2015-12-26 16:41:58 INFO  Steps:30 - Browser started
2015-12-26 16:42:27 INFO  LoginPage:43 - User logged in
2015-12-29 03:01:21 INFO  Steps:29 - Browser started
2015-12-29 03:01:40 INFO  LoginPage:43 - User logged in
2015-12-29 03:01:56 INFO  Steps:35 - Browser closed
2015-12-29 03:02:05 INFO  Steps:29 - Browser started
2015-12-29 03:02:18 INFO  LoginPage:43 - User logged in
2015-12-29 03:02:39 INFO  UserPage:77 - User logged out
2015-12-29 03:02:51 INFO  Steps:35 - Browser closed
2015-12-29 03:03:01 INFO  Steps:29 - Browser started
2015-12-29 03:03:14 INFO  LoginPage:43 - User logged in
2015-12-29 03:03:30 INFO  UserPage:62 - Comment posted
2015-12-29 03:03:31 INFO  Steps:35 - Browser closed
2015-12-29 03:03:39 INFO  Steps:29 - Browser started
2015-12-29 03:03:51 INFO  HomePage:41 - Search completed
2015-12-29 03:04:01 INFO  Steps:35 - Browser closed
2015-12-29 03:07:38 INFO  Steps:29 - Browser started
2015-12-29 03:08:25 INFO  Steps:35 - Browser closed
2015-12-29 03:08:32 INFO  Steps:29 - Browser started
2015-12-29 03:08:46 INFO  LoginPage:43 - User logged in
2015-12-29 03:11:09 INFO  Steps:29 - Browser started
2015-12-29 03:11:23 INFO  LoginPage:43 - User logged in
2015-12-29 03:11:39 INFO  UserLibraryPage:96 - Song deleted
2015-12-29 03:11:49 INFO  Steps:35 - Browser closed
2015-12-29 03:11:58 INFO  Steps:29 - Browser started
2015-12-29 03:12:11 INFO  LoginPage:43 - User logged in
2015-12-29 03:12:23 INFO  Steps:35 - Browser closed
2015-12-29 03:12:30 INFO  Steps:29 - Browser started
2015-12-29 03:12:44 INFO  LoginPage:43 - User logged in
2015-12-29 03:13:12 INFO  UserPage:77 - User logged out
2015-12-29 03:13:22 INFO  Steps:35 - Browser closed
2015-12-29 03:13:31 INFO  Steps:29 - Browser started
2015-12-29 03:13:44 INFO  LoginPage:43 - User logged in
2015-12-29 03:14:02 INFO  UserPage:62 - Comment posted
2015-12-29 03:14:04 INFO  Steps:35 - Browser closed
2015-12-29 03:14:12 INFO  Steps:29 - Browser started
2015-12-29 03:14:23 INFO  HomePage:41 - Search completed
2015-12-29 03:14:34 INFO  Steps:35 - Browser closed
2015-12-30 01:01:38 INFO  Steps:29 - Browser started
2015-12-30 01:02:05 INFO  LoginPage:43 - User logged in
2015-12-30 01:07:59 INFO  UserLibraryPage:96 - Song deleted
2015-12-30 01:17:42 INFO  Steps:35 - Browser closed
2015-12-30 01:17:51 INFO  Steps:29 - Browser started
2015-12-30 01:18:06 INFO  LoginPage:43 - User logged in
2015-12-30 01:22:19 INFO  RetryExec:96 - I/O exception (java.net.SocketException) caught when processing request to {}->http://127.0.0.1:7055: Connection reset
2015-12-30 01:22:19 INFO  RetryExec:112 - Retrying request to {}->http://127.0.0.1:7055
2015-12-31 01:00:59 INFO  Steps:29 - Browser started
2015-12-31 01:01:15 INFO  LoginPage:43 - User logged in
2016-01-04 01:01:37 INFO  Steps:29 - Browser started
2016-01-04 01:02:10 INFO  LoginPage:43 - User logged in
2016-01-04 01:06:10 INFO  UserLibraryPage:96 - Song deleted
2016-01-04 01:06:23 INFO  Steps:35 - Browser closed
2016-01-04 01:06:33 INFO  Steps:29 - Browser started
2016-01-04 01:06:55 INFO  LoginPage:43 - User logged in
2016-01-04 01:10:55 INFO  RetryExec:96 - I/O exception (java.net.SocketException) caught when processing request to {}->http://127.0.0.1:7055: Connection reset
2016-01-04 01:10:55 INFO  RetryExec:112 - Retrying request to {}->http://127.0.0.1:7055
2016-01-05 01:01:38 INFO  Steps:29 - Browser started
2016-01-05 01:01:54 INFO  LoginPage:43 - User logged in
2016-01-05 01:05:51 INFO  UserLibraryPage:96 - Song deleted
2016-01-05 01:06:03 INFO  Steps:35 - Browser closed
2016-01-05 01:06:10 INFO  Steps:29 - Browser started
2016-01-05 01:06:24 INFO  LoginPage:43 - User logged in
2016-01-06 01:01:50 INFO  Steps:29 - Browser started
2016-01-06 01:02:30 INFO  LoginPage:43 - User logged in
2016-01-06 01:06:31 INFO  UserLibraryPage:96 - Song deleted
2016-01-06 01:13:24 INFO  Steps:35 - Browser closed
2016-01-06 01:13:32 INFO  Steps:29 - Browser started
2016-01-06 01:14:02 INFO  Steps:35 - Browser closed
2016-01-06 01:14:15 INFO  Steps:29 - Browser started
2016-01-06 01:14:35 INFO  LoginPage:43 - User logged in
2016-01-06 01:24:51 INFO  Steps:35 - Browser closed
2016-01-06 01:24:58 INFO  Steps:29 - Browser started
2016-01-06 01:25:17 INFO  LoginPage:43 - User logged in
2016-01-07 01:01:26 INFO  Steps:29 - Browser started
2016-01-07 01:01:54 INFO  LoginPage:43 - User logged in
2016-01-07 01:02:01 INFO  UserLibraryPage:96 - Song deleted
2016-01-07 16:11:35 INFO  Steps:29 - Browser started
2016-01-07 16:11:36 INFO  LoginPage:36 - Login page opened
2016-01-07 16:12:18 INFO  LoginPage:44 - User logged in
2016-01-07 16:12:18 INFO  UserLibraryPage:50 - User library page opened
2016-01-07 16:12:41 INFO  UserLibraryPage:97 - Song deleted
2016-01-07 16:12:41 INFO  UserLibraryPage:50 - User library page opened
2016-01-07 16:12:59 INFO  Steps:35 - Browser closed
2016-01-07 16:13:09 INFO  Steps:29 - Browser started
2016-01-07 16:13:16 INFO  LoginPage:36 - Login page opened
2016-01-07 16:13:36 INFO  LoginPage:44 - User logged in
2016-01-07 16:13:59 INFO  Steps:35 - Browser closed
2016-01-07 16:14:15 INFO  Steps:29 - Browser started
2016-01-07 16:14:22 INFO  LoginPage:36 - Login page opened
2016-01-07 16:14:54 INFO  Steps:35 - Browser closed
2016-01-07 16:15:05 INFO  Steps:29 - Browser started
2016-01-07 16:15:11 INFO  LoginPage:36 - Login page opened
2016-01-07 16:15:40 INFO  LoginPage:44 - User logged in
2016-01-07 16:15:40 INFO  UserPage:57 - User page opened
2016-01-07 16:15:56 INFO  UserPage:63 - Comment posted
2016-01-07 16:15:58 INFO  Steps:35 - Browser closed
2016-01-07 16:16:07 INFO  Steps:29 - Browser started
2016-01-07 16:16:22 INFO  HomePage:41 - Search completed
2016-01-07 16:16:36 INFO  Steps:35 - Browser closed
2016-01-07 16:21:05 INFO  Steps:29 - Browser started
2016-01-07 16:21:12 INFO  LoginPage:36 - Login page opened
2016-01-07 16:21:22 INFO  LoginPage:44 - User logged in
2016-01-07 16:21:33 INFO  UserPage:57 - User page opened
2016-01-07 16:21:47 INFO  UserPage:78 - User logged out
2016-01-07 16:22:02 INFO  Steps:35 - Browser closed
2016-01-07 16:29:46 INFO  Steps:29 - Browser started
